NR_4.0_29909.1 4V9Q DV
NR_4.0_67886.1 7M3T qq
NR_4.0_82140.1 1MDG A
NR_4.0_59327.1 6M0X B
NR_4.0_63923.1 7Q80 B,C,A
NR_4.0_79129.1 7ASE 1
NR_4.0_42502.1 5HR7 D
NR_4.0_19099.1 3K0J E
NR_4.0_28348.1 4JXZ B
NR_4.0_80828.1 4TS2 Y,X
NR_4.0_26321.3 4QOZ A
NR_4.0_61174.1 1H2C R
NR_4.0_56101.4 7ZP8 v
NR_4.0_55926.1 4E59 A,B
NR_4.0_64047.1 1PVO L
NR_4.0_23131.1 4A3L P
NR_4.0_03515.1 2HT1 M
NR_4.0_58357.1 1FJG X
NR_4.0_24697.1 7PWG 1,4
NR_4.0_77343.3 7SYS i
NR_4.0_00536.1 4GHL E
NR_4.0_23939.1 4C4W H
NR_4.0_74183.1 3GTL R
NR_4.0_24985.1 6TQA G
NR_4.0_83504.1 3I4N P
NR_4.0_21988.1 8A57 A
NR_4.0_04836.1 6P5I 1
NR_4.0_16357.1 8A57 B
NR_4.0_41042.4 4OO1 S
NR_4.0_75761.1 6XLL R
NR_4.0_70938.1 4XW0 A,B
NR_4.0_83502.1 7QIZ aA,bA
NR_4.0_33763.1 3D0M X
NR_4.0_93859.1 4J39 B
NR_4.0_42371.1 7KHA J
NR_4.0_73746.1 2OE5 B,A
NR_4.0_69638.1 3WQY C
NR_4.0_56381.1 7UO1 C
NR_4.0_47665.1 2JA7 3
NR_4.0_96884.1 7M50 bb,qq
NR_4.0_98913.1 1S77 R
NR_4.0_18489.8 7OHQ 6
NR_4.0_50314.5 6ERI Ax
NR_4.0_00443.1 7XUE R
NR_4.0_74260.1 5BTM A
NR_4.0_93052.1 3GTG R
NR_4.0_22024.1 7RIP R
NR_4.0_00196.1 7VNV A
NR_4.0_75628.1 7QIW 5
NR_4.0_51034.1 4HKQ E
NR_4.0_01253.1 7MLW F
NR_4.0_06254.1 3P4C A
NR_4.0_46777.1 1YFG A
NR_4.0_24883.1 7W0C D,C
NR_4.0_20305.5 6ERI AA
NR_4.0_91999.1 5HSW B
NR_4.0_05530.5 6ERI AB
NR_4.0_83891.20 4WF9 Y
NR_4.0_72196.1 7KKV B
NR_4.0_16825.1 1F27 A
NR_4.0_37454.1 5XWG A
NR_4.0_52157.1 7K5L R
NR_4.0_83999.1 5JU8 AY
NR_4.0_28277.1 7D6Z 3
NR_4.0_08107.1 4BOC R
NR_4.0_53294.1 1EC6 D
NR_4.0_84151.1 7UNC P
NR_4.0_29429.1 5T2A B
NR_4.0_71760.1 6RA4 L,M
NR_4.0_75133.1 6DN2 Y,X
NR_4.0_15937.1 6SWE 4
NR_4.0_69759.1 6AZ4 A
NR_4.0_49071.1 5YKI C
NR_4.0_31724.1 7CGJ B
NR_4.0_50716.1 7OJK D,E
NR_4.0_90795.5 6KQE I
NR_4.0_64649.1 2PY9 F
NR_4.0_41594.1 4ILM C
NR_4.0_14193.1 6V9B B,D
NR_4.0_21529.1 6OZO C,D
NR_4.0_51944.1 4GL2 C,D
NR_4.0_19413.1 2I91 F,E
NR_4.0_44617.1 6STY C
NR_4.0_71379.1 3RC8 E
NR_4.0_99276.1 7ONB H
NR_4.0_70098.1 5DE8 A
NR_4.0_15746.1 7M50 e,P
NR_4.0_02963.1 5DEA C
NR_4.0_51105.1 7CPU S2
NR_4.0_49464.2 5AY2 A,B
NR_4.0_01597.2 7NQ4 C
NR_4.0_86129.1 4V85 AV
NR_4.0_14483.1 7R81 A1,C1
NR_4.0_93862.1 7C7A R
NR_4.0_09810.1 4JRD B
NR_4.0_73426.3 7EVO H
NR_4.0_74379.1 7PMM D
NR_4.0_66387.1 3OK4 N
NR_4.0_25547.1 3PU0 R
NR_4.0_66740.1 3T5N C
NR_4.0_79660.1 3T5Q J
NR_4.0_30944.4 1U6B B
NR_4.0_11173.1 4JVH D
NR_4.0_78848.1 3T5Q F
NR_4.0_24394.1 6UFJ C
NR_4.0_18291.1 3T5Q D
NR_4.0_78706.1 1ZCI A,B
NR_4.0_92104.1 3T5Q C
NR_4.0_49890.1 1NUV E,F
NR_4.0_96254.1 6N6H D
NR_4.0_85531.1 6DNH E
NR_4.0_56375.1 8GS2 R,D
NR_4.0_93152.1 5WNT b,a
NR_4.0_77057.1 4BHH R
NR_4.0_21738.1 6SZV R,M
NR_4.0_12183.1 421D B
NR_4.0_34610.1 364D C,B,A
NR_4.0_62804.1 6AHU T
NR_4.0_57733.1 4H8K C
NR_4.0_11942.1 6MSF S
NR_4.0_31286.1 6MSF R
NR_4.0_26998.1 1KXK A
NR_4.0_13919.1 3AM1 B
NR_4.0_52698.1 8DVU B
NR_4.0_37244.1 4R3I B
NR_4.0_92635.2 6L5N C
NR_4.0_75945.1 2OE8 B,A
NR_4.0_35987.1 3B0U B
NR_4.0_51514.1 6L5N D
NR_4.0_63567.1 6XKO A
NR_4.0_66381.1 6H4N I
NR_4.0_28499.1 6L1W C
NR_4.0_25994.1 3JCM E
NR_4.0_53884.1 3O7V A
NR_4.0_62824.1 3J7O 7
NR_4.0_13730.1 4X9E G
NR_4.0_55642.1 4KQ0 B,E
NR_4.0_22904.1 3R1C K,L
NR_4.0_52752.14 7OW7 B
NR_4.0_04400.1 6KWR B
NR_4.0_54594.1 4FYD E
NR_4.0_15756.1 4U8T T
NR_4.0_55576.1 6XRQ A
NR_4.0_82754.1 6XRQ B
NR_4.0_68126.1 2H1M A,B
NR_4.0_27244.1 6Z1P Bb,Ba
NR_4.0_42604.1 2NR0 E
NR_4.0_27991.1 6AGB A
NR_4.0_17726.3 6XUS A
NR_4.0_03921.1 6ZDU C
NR_4.0_43251.1 4AY2 C
NR_4.0_57635.1 8E4X C,D
NR_4.0_36683.2 6AZ3 1,7
NR_4.0_52295.1 2ET8 A,B
NR_4.0_43992.1 5AWH C
NR_4.0_68426.1 7ELA C
NR_4.0_06721.1 3PO3 P
NR_4.0_80776.1 6R47 A
NR_4.0_41959.1 3P22 A
NR_4.0_99953.1 1FEU C,B
NR_4.0_30547.1 4II9 C
NR_4.0_85527.1 7XN7 P
NR_4.0_47203.2 3F2X X
NR_4.0_61788.1 7PWO 3
NR_4.0_12248.1 8H2H B
NR_4.0_69076.1 3G0H E
NR_4.0_51824.1 5WTI B
NR_4.0_43988.1 5EMF A
NR_4.0_16594.1 5G4T A,B
NR_4.0_12971.6 7P7Q B
NR_4.0_52453.4 3OL9 B,F,C,G,D,H
NR_4.0_78802.1 2GJE S
NR_4.0_81464.1 2GJE R
NR_4.0_01315.2 7B9V 2,6
NR_4.0_29999.1 5FJ8 T
NR_4.0_65561.1 6GSK 1K
NR_4.0_93513.1 3ADI D,E
NR_4.0_85745.1 6JQ6 U
NR_4.0_65417.1 6YRQ E
NR_4.0_54761.1 4V5G AY
NR_4.0_38728.1 7M5O B
NR_4.0_16564.1 7WJU C
NR_4.0_98371.1 8DH1 G
NR_4.0_12115.1 6NY5 C
NR_4.0_46102.2 1WZ2 D
NR_4.0_49530.1 7TNX C,B
NR_4.0_87323.1 7S36 R
NR_4.0_63978.1 7M3T WW,V
NR_4.0_36794.1 1G2J A
NR_4.0_49702.1 7PDV F
NR_4.0_29032.1 7B3D T,P
NR_4.0_42241.3 7TZS X
NR_4.0_24584.1 6WW6 D
NR_4.0_72592.1 6YWS A
NR_4.0_21609.1 7CPU L7
NR_4.0_83715.1 5DV7 A,B
NR_4.0_30582.1 5Z98 C
NR_4.0_60848.2 7EZ2 N
NR_4.0_85489.1 5Z98 D
NR_4.0_82939.1 3ND4 A
NR_4.0_50256.1 6FRK 1
NR_4.0_68467.10 7NWI 2
NR_4.0_75310.1 6CU1 A
NR_4.0_60049.3 3CD6 4
NR_4.0_99388.1 5BKL UU,ll
NR_4.0_19387.1 5W0O C,D
NR_4.0_39119.1 2G92 A,B
NR_4.0_18914.1 6AAX B
NR_4.0_23301.1 3HSB X
NR_4.0_29328.1 8EDJ R
NR_4.0_88374.1 4C9D D
NR_4.0_75220.1 7ECK I,J
NR_4.0_98374.1 2I82 F
NR_4.0_86909.1 7A9N K,L
NR_4.0_74766.1 6YHS 8,6
NR_4.0_05647.1 7WNU D
NR_4.0_93855.12 7QI4 AA
NR_4.0_26582.1 4K27 U
NR_4.0_07107.1 7WNU C
NR_4.0_96870.1 7ST2 5
NR_4.0_88361.1 7M50 h,S
NR_4.0_48149.1 4RMO B
NR_4.0_87525.2 7QIZ S2
NR_4.0_45159.1 4J50 A,B
NR_4.0_22853.1 3PLA G,H,I,J
NR_4.0_74023.9 6S0X a
NR_4.0_47141.1 4RC0 A
NR_4.0_28412.1 7F3I D
NR_4.0_82951.1 2O3X A,B
NR_4.0_33997.1 6MTC 4
NR_4.0_51631.1 3NNH E
NR_4.0_36361.1 7QI4 Ax
NR_4.0_98144.1 7QI4 Ay
NR_4.0_20115.1 6RFL U
NR_4.0_42633.1 3NNA B
NR_4.0_18709.1 7QI4 Aw
NR_4.0_36843.2 5LZS 3
NR_4.0_61644.1 4X62 b,a
NR_4.0_07550.1 5XJ2 G
NR_4.0_38094.1 7C45 D
NR_4.0_74199.1 1NTA A,B
NR_4.0_33922.2 4R4V A
NR_4.0_69484.1 4XEJ BIRE
NR_4.0_83196.1 5O5J W
NR_4.0_87784.1 1ZX7 C,E,D,F
NR_4.0_81267.1 6ID1 H,F
NR_4.0_21999.1 6IR9 P
NR_4.0_59799.1 2F8S C,D
NR_4.0_99303.1 5XWP C
NR_4.0_67557.1 6KR6 B
NR_4.0_02834.1 472D A,B
NR_4.0_86266.1 4P8Z A
NR_4.0_94132.2 7UWS H
NR_4.0_97545.1 7A9X B
NR_4.0_01515.1 2VUM P
NR_4.0_23975.1 5O7H A
NR_4.0_36650.1 7XWZ C,D
NR_4.0_47419.1 7M2V S,h
NR_4.0_86436.1 2PN3 A,B
NR_4.0_64404.2 3TUP T
NR_4.0_18881.1 6SWD 2
NR_4.0_53841.1 2E9T B,C
NR_4.0_10920.1 4ZLD B
NR_4.0_47834.1 7KQM B
NR_4.0_47294.1 6VPC A
NR_4.0_74932.1 6B44 M
NR_4.0_97453.1 6OZP c
NR_4.0_87059.1 1CVJ Q
NR_4.0_36481.1 4CSF u
NR_4.0_78670.1 1CVJ N
NR_4.0_87724.1 6YWX bb
NR_4.0_70955.1 1L9A B
NR_4.0_45659.1 4ZNP A
NR_4.0_60719.1 7PY8 R
NR_4.0_29085.1 1N78 C
NR_4.0_68288.1 7YP9 H
NR_4.0_55153.1 3FS0 B,A
NR_4.0_96274.1 6T4Q 7
NR_4.0_40208.1 3J06 R
NR_4.0_51587.2 5BKN T,i
NR_4.0_31791.1 2FZ2 D
NR_4.0_54588.1 7K98 C
NR_4.0_05919.1 6D9L C
NR_4.0_26629.3 3HK2 F
NR_4.0_12661.1 7OS0 F
NR_4.0_98075.1 2ZZM B
NR_4.0_79951.1 4OJI A
NR_4.0_03143.1 2VRT H
NR_4.0_56532.1 7DLZ X
NR_4.0_00121.1 5ZQ0 B
NR_4.0_24045.1 7M50 ll
NR_4.0_99944.1 2VRT G
NR_4.0_04427.1 6RM3 S60
NR_4.0_07779.1 1NUV A,B
NR_4.0_44326.1 1YZ9 C,D,E,F
NR_4.0_33912.2 7RIQ R
NR_4.0_26261.1 7SP1 P
NR_4.0_35054.4 3IGI A
NR_4.0_46025.2 7XJG H
NR_4.0_06376.1 3K4E F
NR_4.0_56046.1 1SI3 B
NR_4.0_15997.1 5IYD Z
NR_4.0_11911.1 6N9U P
NR_4.0_76721.1 8E3I E
NR_4.0_34877.1 6VWL 4
NR_4.0_53989.1 5BKN Y,n
NR_4.0_54171.1 7UCK 2
NR_4.0_84517.1 5FJC A
NR_4.0_67948.1 6R9M B
NR_4.0_24132.2 4NIA c
NR_4.0_51748.1 3I62 B
NR_4.0_18284.1 5UHC I
NR_4.0_88847.1 4F3T R
NR_4.0_30288.1 4IG8 B,C
NR_4.0_91365.1 4C8Z C
NR_4.0_00626.1 4W90 C
NR_4.0_02553.1 5Y7M D
NR_4.0_65802.1 6D2Z C
NR_4.0_38966.2 6JDV B
NR_4.0_31949.1 1UVN F
NR_4.0_71246.1 5VM9 B
NR_4.0_84537.1 2AWE D
NR_4.0_53827.1 1ZDJ R
NR_4.0_32430.1 5VM9 D
NR_4.0_36990.1 4PMI A
NR_4.0_98033.1 2AZX D
NR_4.0_59870.1 3S49 E,F
NR_4.0_81627.1 7KRP P,T
NR_4.0_81085.1 7UIN B
NR_4.0_79830.1 7EAG C,D,E,F,A,B
NR_4.0_15094.1 6IA2 A,B
NR_4.0_57955.2 1Q96 A
NR_4.0_70719.1 6N2V A
NR_4.0_56744.1 1XNR X,W
NR_4.0_10469.1 1P79 A
NR_4.0_61884.1 4WTK T,P
NR_4.0_01073.1 5NWQ A
NR_4.0_63152.1 1VQN 4
NR_4.0_16274.1 4OAV C
NR_4.0_49228.1 4OAV A
NR_4.0_79094.1 7OJN R,M
NR_4.0_82332.1 6UV3 B
NR_4.0_87746.1 4IQS E
NR_4.0_58017.1 4JNG L
NR_4.0_02622.1 4GHA I,J
NR_4.0_11200.1 6NE0 M
NR_4.0_02804.1 8EHQ R
NR_4.0_26496.1 6ME0 A
NR_4.0_98794.1 8BE0 M,R
NR_4.0_01779.1 4FRG B
NR_4.0_49738.1 7ASE 0
NR_4.0_79426.1 6MJ0 B
NR_4.0_57348.1 1GAX D
NR_4.0_05217.3 3HOY P
NR_4.0_12137.1 4I67 B
NR_4.0_80196.1 7MQD B
NR_4.0_29370.1 5WWW B
NR_4.0_91843.1 7ZGR E
NR_4.0_27306.1 4JF2 A
NR_4.0_29875.1 7JJU A,B
NR_4.0_35553.1 3D2S F
NR_4.0_95874.1 3R9X C
NR_4.0_74244.1 7ELQ A
NR_4.0_68439.1 4DB2 E,F
NR_4.0_70891.1 7M3T UU
NR_4.0_39003.1 1MHK L,S
NR_4.0_99000.1 6OZR C,D
NR_4.0_56235.1 4O41 C,D
NR_4.0_23362.1 5EBI F
NR_4.0_24223.1 6F3H C
NR_4.0_30553.1 7MQA L0
NR_4.0_43482.1 7MQA L2
NR_4.0_01773.1 7AOH P
NR_4.0_49451.1 3G9Y C
NR_4.0_64976.1 6K32 t,p
NR_4.0_99259.1 6VEM A,B
NR_4.0_70895.1 5FJ4 H
NR_4.0_20180.1 4BBS P
NR_4.0_96354.4 6ERI BA
NR_4.0_62241.1 8BE0 V
NR_4.0_35088.1 3LOA B,A
NR_4.0_95363.4 3K1V A
NR_4.0_65635.3 6GAZ AV
NR_4.0_86183.1 6KL9 G
NR_4.0_22639.1 4K0K Y,X
NR_4.0_33394.4 5B2T A
NR_4.0_83415.1 4WTC T,P
NR_4.0_52610.1 4PCJ A
NR_4.0_60559.1 7NKY P
NR_4.0_77778.1 4WZQ B,C
NR_4.0_09952.1 1B7F Q
NR_4.0_61964.1 1B7F P
NR_4.0_89230.1 5F5H C
NR_4.0_45705.1 6YW5 aa
NR_4.0_58991.1 5F5H D
NR_4.0_65166.1 6RI9 R
NR_4.0_11927.1 8ESQ 6
NR_4.0_83775.1 3TZR A,B
NR_4.0_51639.1 7PKS P
NR_4.0_58168.1 6AR5 B
NR_4.0_90607.1 6FUW D
NR_4.0_38950.2 2XDB G
NR_4.0_94866.2 6N5P A
NR_4.0_15188.1 3NVK K,G
NR_4.0_42877.1 4OLA B
NR_4.0_68144.1 6PMO A
NR_4.0_94113.1 1EC6 C
NR_4.0_02307.1 4WT8 DV
NR_4.0_12111.2 6D8A C
NR_4.0_43560.1 3Q0L D
NR_4.0_61951.1 7XYB R
NR_4.0_83181.1 2DLC Y
NR_4.0_10913.1 3Q0L C
NR_4.0_30824.1 7DD3 G
NR_4.0_40657.1 1G1X J,I
NR_4.0_51660.3 5GAH 1
NR_4.0_56330.1 6ZMW w
NR_4.0_65010.1 2V7R A,B
NR_4.0_57770.1 1N35 C,B
NR_4.0_61479.1 5IBB 1L
NR_4.0_83974.1 6XBU E
NR_4.0_25162.1 3K5Q B
NR_4.0_37536.1 6M6S C,D
NR_4.0_91231.1 3VYX B,C
NR_4.0_10362.1 5LM7 G
NR_4.0_27264.1 3Q2T E
NR_4.0_47926.1 7OIF z
NR_4.0_54128.1 3Q0R B
NR_4.0_55052.1 7WAZ D
NR_4.0_14977.1 4B3G H
NR_4.0_08596.1 4B3G G
NR_4.0_65401.1 3IEV D
NR_4.0_17334.1 5WEA B
NR_4.0_05106.1 1CWP D
NR_4.0_15685.1 1CWP F
NR_4.0_12093.1 1TFW G,J
NR_4.0_96683.5 5Z4J B
NR_4.0_81475.1 1SDR A,B
NR_4.0_81175.1 1M8Y D
NR_4.0_93158.1 6GML P
NR_4.0_65678.1 1YVP C,D
NR_4.0_01086.1 8B0J K
NR_4.0_65232.1 4HOS X
NR_4.0_47353.1 7XPG D
NR_4.0_41539.1 2XZL B
NR_4.0_35293.2 3P6Y S
NR_4.0_43624.1 7EIU C
NR_4.0_14458.1 5TC1 R
NR_4.0_70081.1 3IBK B
NR_4.0_28334.1 1KNZ W
NR_4.0_38685.1 5DTO B
NR_4.0_86202.1 5M0I F
NR_4.0_90603.1 5M0I E
NR_4.0_81682.1 6PPV H
NR_4.0_41745.1 6DOY B
NR_4.0_36040.1 7S7C D,L
NR_4.0_87561.1 4KR9 X
NR_4.0_43421.1 2XB2 R
NR_4.0_67696.1 7UJ1 D
NR_4.0_26424.1 7UJ1 E
NR_4.0_42832.1 4V8P C3
NR_4.0_82632.1 6YML A
NR_4.0_00179.1 5EIM C
NR_4.0_47291.1 1T0K D,C
NR_4.0_44180.1 7XUI R
NR_4.0_73487.1 2QK9 B
NR_4.0_42883.1 5WZI B
NR_4.0_23083.1 7JIL 2
NR_4.0_47956.1 6XN4 R,T
NR_4.0_80987.1 2NUE C
NR_4.0_36634.1 2QUW B
NR_4.0_88832.1 6XN5 R
NR_4.0_59443.1 7M50 i,T
NR_4.0_90775.1 1FIR A
NR_4.0_54580.1 6ZJ3 LC,LA,LB
NR_4.0_80276.3 6E1S A
NR_4.0_63265.1 3LA5 A
NR_4.0_81635.1 1UVJ F
NR_4.0_64079.1 7MQF B
NR_4.0_43595.1 5WWE B
NR_4.0_79699.1 6KQD I
NR_4.0_84026.2 5DHB A,B
NR_4.0_76196.1 1E8O E
NR_4.0_45851.1 1YTU E,F
NR_4.0_25467.1 5T5H A,C
NR_4.0_08327.1 435D C,D
NR_4.0_46216.1 3CGS B,A
NR_4.0_19061.1 3Q1Q C
NR_4.0_39625.1 3Q1Q B
NR_4.0_71771.1 4V83 CV
NR_4.0_66843.1 5AMQ C
NR_4.0_10769.1 1YVP H
NR_4.0_02574.1 4PHY A,B
NR_4.0_45405.1 7TQB A
NR_4.0_96269.11 6ZP4 1
NR_4.0_52747.1 4KR6 C
NR_4.0_29415.1 6BSG R
NR_4.0_57060.1 1DQH B,A
NR_4.0_13595.1 7ZJW S
NR_4.0_62764.1 5EV1 B
NR_4.0_67384.2 7RYG B
NR_4.0_20401.1 7QCA L70
NR_4.0_30254.1 7KVT B
NR_4.0_29450.1 7ZJW I
NR_4.0_16888.1 3J6B e
NR_4.0_08470.1 5MRC A
NR_4.0_98632.6 7P7Q A
NR_4.0_69503.1 7NHN a
NR_4.0_73019.1 8ANE R
NR_4.0_29423.1 4V4F B6
NR_4.0_93255.1 5H0R H,I
NR_4.0_22747.1 2OZB C
NR_4.0_35816.1 3KMQ B,C
NR_4.0_04785.1 7WB1 D
NR_4.0_92831.2 7RYG v
NR_4.0_69993.1 7ZO1 A
NR_4.0_40570.1 6CK5 A
NR_4.0_02956.1 6HCT E,F
NR_4.0_24846.1 6TY9 T,N
NR_4.0_06584.1 8FFR X
NR_4.0_70873.1 2GTT W
NR_4.0_62940.1 2D6F F
NR_4.0_50007.1 5BKL m,X
NR_4.0_40314.1 4V9I AY
NR_4.0_50956.1 7Z43 MaM
NR_4.0_96438.2 7ZJX I
NR_4.0_84582.1 7ELH T,U
NR_4.0_15457.1 7BPV S
NR_4.0_70863.1 6SVS A
NR_4.0_95458.1 7OL0 P
NR_4.0_16650.1 3PKM G
NR_4.0_20614.1 8DFV E
NR_4.0_68928.1 4D25 D
NR_4.0_68756.1 7BHP B
NR_4.0_56182.1 6FLQ R
NR_4.0_74556.1 5BZV B
NR_4.0_93427.1 5UD5 C
NR_4.0_86185.1 6O1K O
NR_4.0_48882.1 7PKT 7,6
NR_4.0_28980.1 3P4C B
NR_4.0_00747.1 4H5P F
NR_4.0_95531.1 5WSG b
NR_4.0_01689.1 6KYV G
NR_4.0_52626.1 3K64 B
NR_4.0_08416.1 1QBP A,B
NR_4.0_85316.1 7OJL D,E
NR_4.0_13395.1 3MDG C
NR_4.0_29253.1 6BGB A,B
NR_4.0_65762.1 4Q5S I
NR_4.0_60644.1 6TQN R
NR_4.0_32401.1 6ZJ3 LL
NR_4.0_57834.2 6FF4 6
NR_4.0_53105.1 4UYK R
NR_4.0_04437.1 6KUR V,R
NR_4.0_98426.1 7CGI B
NR_4.0_27661.1 3BX2 D
NR_4.0_45934.1 6GFW R
NR_4.0_49782.1 1I6U C
NR_4.0_95559.1 1R9F C
NR_4.0_58761.1 2CSX C
NR_4.0_20722.1 6V5B D
NR_4.0_99773.1 1R9F B
NR_4.0_89185.1 5GAP V
NR_4.0_22156.1 3PKM R
NR_4.0_31091.1 4K50 B
NR_4.0_99969.1 5JUP EC
NR_4.0_73988.1 5L2L D
NR_4.0_89968.1 6DVK H
NR_4.0_49839.1 6ZDP B
NR_4.0_63879.1 3M4O R
NR_4.0_06133.1 4PEH Z
NR_4.0_54592.1 464D A,B
NR_4.0_00559.1 7D7V A
NR_4.0_38877.1 1KFO A
NR_4.0_85919.1 8EUY 6
NR_4.0_75747.1 3AVT T
NR_4.0_29074.1 5ZLU DD
NR_4.0_40400.1 3QSU P
NR_4.0_46386.1 2R7T X
NR_4.0_09116.1 7MLI I
NR_4.0_18903.1 6CHR A
NR_4.0_04000.1 6ZM6 w
NR_4.0_73255.1 485D A,B
NR_4.0_88451.1 5JJK G
NR_4.0_84036.1 3QGB B
NR_4.0_73703.1 6R6P 2
NR_4.0_70509.2 7OOP P
NR_4.0_71483.1 5MJV D
NR_4.0_03624.1 5KL1 C
NR_4.0_65991.1 7QUA A
NR_4.0_09706.1 2VPL B
NR_4.0_73006.1 7TO0 B,C
NR_4.0_66900.1 7M2V X,m
NR_4.0_33315.1 2A8V E
NR_4.0_93060.1 7SWF B,D
NR_4.0_04288.3 6N6E D
NR_4.0_15462.1 4NGG B
NR_4.0_41935.1 7MKY A
NR_4.0_47933.1 4NGD B
NR_4.0_40189.1 3T4B A
NR_4.0_06457.1 422D A,B
NR_4.0_22464.1 1R3E C
NR_4.0_18889.3 5C45 X,Y
NR_4.0_51826.1 1RNA A,B
NR_4.0_80025.2 7A5J G
NR_4.0_86182.1 3LOB R
NR_4.0_83946.1 5GUH B
NR_4.0_67797.1 7R9G B
NR_4.0_15699.1 6W5C B
NR_4.0_88154.1 4RUM A
NR_4.0_23187.1 3AGV S
NR_4.0_57826.1 7QH7 B
NR_4.0_75645.1 5XXB 1,4
NR_4.0_24274.1 8GXB A
NR_4.0_93033.1 6WMP R
NR_4.0_70244.1 6RIE P
NR_4.0_53157.1 1CSL B,A
NR_4.0_35406.1 4Z92 D
NR_4.0_68171.1 3R1C E,F
NR_4.0_35023.1 6SAG R
NR_4.0_35969.1 4NGC B
NR_4.0_67400.2 6XZD IN1
NR_4.0_17764.1 4M7A P
NR_4.0_27625.1 4ZC7 A,B
NR_4.0_37879.1 2C0B R
NR_4.0_04094.1 7M50 UU
NR_4.0_15037.1 3PF4 R
NR_4.0_37135.1 5ZSC D
NR_4.0_65114.1 3A2K C
NR_4.0_30489.1 5LQO A,B
NR_4.0_59690.1 1F7U B
NR_4.0_72322.1 2Y9H F
NR_4.0_46586.1 2Y9H J
NR_4.0_15533.1 2Y9H N
NR_4.0_24738.1 2Y9H H
NR_4.0_83985.1 7AS8 2
NR_4.0_93869.1 6WOY I
NR_4.0_92759.1 1FIX A
NR_4.0_35965.1 3JAN 4
NR_4.0_33835.1 2JLT A
NR_4.0_48777.2 4NKU D
NR_4.0_16634.1 3S2D R
NR_4.0_74101.1 6XMF C
NR_4.0_99929.1 7UND P
NR_4.0_73684.1 4GKK X,W
NR_4.0_76426.1 7ELH C
NR_4.0_78862.1 4V9E Ag
NR_4.0_60842.1 4JYA X
NR_4.0_95596.1 8H1B C
NR_4.0_86891.1 5LZS ii
NR_4.0_11458.2 4O26 E
NR_4.0_19855.1 6FQR C
NR_4.0_30784.1 6OGZ B,C
NR_4.0_50890.1 3JXQ L,K
NR_4.0_10541.1 3S1Q R
NR_4.0_28532.1 2ATW B
NR_4.0_42222.1 5K7D A
NR_4.0_37397.1 6Z6M CC
NR_4.0_24721.1 6PPP A
NR_4.0_04792.1 7KJV C,D
NR_4.0_53861.1 6XQB F,E
NR_4.0_51071.1 4JYA Y
NR_4.0_02378.1 4P43 B,A
NR_4.0_26368.1 6LTU B
NR_4.0_73216.5 4WSM 1K
NR_4.0_55512.1 6P18 R
NR_4.0_24746.1 1YYW I,J
NR_4.0_93339.3 6UU0 333
NR_4.0_04935.1 3AL0 E
NR_4.0_17333.1 4V6D CV
NR_4.0_83451.1 7Y7R D
NR_4.0_63343.1 5DNO B
NR_4.0_96295.1 3M7N X
NR_4.0_19209.1 5JAJ X,Y
NR_4.0_62395.1 7BZF F,G
NR_4.0_68446.1 4U6K A
NR_4.0_70523.1 2R7V X
NR_4.0_50424.1 5U30 B
NR_4.0_84424.1 1GTN W
NR_4.0_26264.1 1JID B
NR_4.0_75279.1 7ELC C
NR_4.0_19932.1 1E8S C
NR_4.0_48635.1 7DFG T,P
NR_4.0_27039.1 5WNP a,b
NR_4.0_83770.1 7QQX A
NR_4.0_96728.1 3S1N R
NR_4.0_49675.1 7BPF A
NR_4.0_32973.1 5YTS B
NR_4.0_92231.1 4BY7 P
NR_4.0_30667.1 1XOK A
NR_4.0_79459.1 4GKJ X,W
NR_4.0_21658.1 2ZKO C,D
NR_4.0_32166.1 7X74 Q
NR_4.0_55371.1 3AVW T,G
NR_4.0_16758.1 5F5F B
NR_4.0_91682.1 8ABY R
NR_4.0_66606.1 7UU4 R
NR_4.0_16130.1 1UTD 0
NR_4.0_38681.1 7ENI B
NR_4.0_03986.1 1KD5 A,B
NR_4.0_96260.1 1UTD 1
NR_4.0_25458.1 3IWN A
NR_4.0_11651.1 6RI7 R
NR_4.0_51124.1 6DU4 B
NR_4.0_58299.1 2GRB F
NR_4.0_71389.1 6M6R B
NR_4.0_32185.1 3OXE A
NR_4.0_23233.1 2Q66 X
NR_4.0_72146.1 7M50 n,Y
NR_4.0_56099.1 6F4H B
NR_4.0_98428.3 6N6I C
NR_4.0_13447.1 6H0R A
NR_4.0_28322.2 7ZPJ B
NR_4.0_61711.1 3QJP R
NR_4.0_72030.1 1ZH5 C,D
NR_4.0_36129.1 2VAL A,C
NR_4.0_84781.1 6H25 R
NR_4.0_19645.1 4QI2 G
NR_4.0_46564.1 4ATO G
NR_4.0_14653.1 1DQF B,A
NR_4.0_70335.1 5A8L P
NR_4.0_35677.3 7SFR A
NR_4.0_26536.2 7SFR B
NR_4.0_55907.2 1HMH E
NR_4.0_34753.1 3HOW 3
NR_4.0_82681.1 1HMH A
NR_4.0_04298.1 6PMO B
NR_4.0_46720.2 5DDP A
NR_4.0_79254.1 3KFU L
NR_4.0_72703.1 7W0A D,C
NR_4.0_02132.1 7UXA E
NR_4.0_34318.1 6ZM2 B
NR_4.0_75326.1 1M5K B
NR_4.0_44791.1 7QR0 A
NR_4.0_12719.1 4IFD R
NR_4.0_98171.1 1ICG A,B
NR_4.0_98524.1 6GX6 B
NR_4.0_16115.1 2R7X X
